S/N,EMPLOYER CODE,OLD EMPLOYER CODE,REGISTRATION,NAME,SECTOR
"4,827",PR0002004037, ,2006250,BASH AUTO-MOBILE WORKSHOP,Automobile and Tyre
"4,828",PR0000346090, ,RA346090,BATCO MOTORS LIMITED,Automobile and Tyre
"4,829",PR0000055163, ,RA055163,BAUCHI AUTOMOBILE & SPARE PARTS NIG. LTD,Automobile and Tyre
"4,830",PR0000068325, ,RA068325,BAYO ONIRE MOTORS LTD,Automobile and Tyre
"4,831",PR0001444178, ,1444178,BEACON J AUTO SERVICES LIMITED,Automobile and Tyre
"4,832",PR0000646583, ,RA646583,BEAUTY MOTORS COMPANY LIMITED,Automobile and Tyre
"4,833",PR0000627940, ,RA627940,BECAN AUTO VENTURES LIMITED,Automobile and Tyre
"4,834",PR0000649809, ,RA649809,BEE ABDALLAS MOTORS LTD,Automobile and Tyre
"4,835",PR0000071961, ,RA071961,BEITA MOTORS LTD,Automobile and Tyre
"4,836",PR0000072024, ,RA072024,BEKEN MOTOR NIGERIA LTD,Automobile and Tyre
"4,837",PR0000624962, ,RA624962,BELLO BALOGUN MOTORS LIMITED,Automobile and Tyre
"4,838",BR0000974893,PRTEMP005628,974893,BELMAN AUTO SERVICES,Automobile and Tyre
"4,839",PR0000027685, ,27685,BEN AUTO SUPPLY CO LTD,Automobile and Tyre
"4,840",PR0002009053, ,2722,BEN TEE AUTOMOBILES,Automobile and Tyre
"4,841",PR0000635924, ,635924,BEN-ZICO AUTO INVESTMENTS LIMITED,Automobile and Tyre
"4,842",PR0000608835, ,608835,BENAK AUTO IMPORT COMPANY LIMITED,Automobile and Tyre
"4,843",PR0000635494, ,RA635494,BENFOSTER MOTORS LIMITED,Automobile and Tyre
"4,844",PR0000620249, ,RA620249,BENICE GLOBAL MOTORS NIGERIA LIMITED,Automobile and Tyre
"4,845",PR0000657429, ,RA657429,BENIKE AUTO MOTOR COMPANY LIMITED,Automobile and Tyre
"4,846",PR0002001878, ,2003409,BENJAMIN AUTO SALES,Automobile and Tyre
"4,847",PR0000023630, ,RA023630,BENSON MOTORS & HAULAGE CO. LTD,Automobile and Tyre
"4,848",PR0000607922, ,607922,BEREKOTRY AUTO - GREASE NIGERIA LIMITED,Automobile and Tyre
"4,849",PR0000650508, ,RA650508,BEST BARGAIN AUTOS & ALLIED INVESTMENTS LTD,Automobile and Tyre
"4,850",PR0001306281, ,1306281,BESTLEO GLOBAL AUTOS LTD,Automobile and Tyre
"4,851",PR0000636797, ,RA636797,BETTER MOTORCYCLE NIGERIA COMPANY LIMITED,Automobile and Tyre
"4,852",PR0002000025, ,850429,BEZER AUTO SUPPLY,Automobile and Tyre
"4,853",PR0000030253, ,755484,BGN AUTOMOBILE LIMITED,Automobile and Tyre
"4,854",PR0000001055, ,1055,BHOJSONS CO. NIG. LTD,Automobile and Tyre
"4,855",PR0000025193, ,RA025193,BIBSON MOTORS CO. NIG. LTD,Automobile and Tyre
"4,856",PR0000748939, ,RA748939,BIBYS AUTOHOUSE LIMITED,Automobile and Tyre
"4,857",PR0000653119, ,RA653119,BIG FIVE MOTORS LIMITED,Automobile and Tyre
"4,858",PR0000075262, ,1983800,BILLICO GLOBAL RESOURCES COMPANY LIMITED,Automobile and Tyre
"4,859",PR0000649425, ,RA649425,BILLY JAMES AUTO FASTENERS INDUSTRIES LIMITED,Automobile and Tyre
"4,860",PR0000045039, ,RA045039,BILMUS AUTOMOBILE NIGERIA LTD,Automobile and Tyre
"4,861",PR0000659364, ,RA659364,BIM MOTORS AFFAIR LIMITED,Automobile and Tyre
"4,862",PR0000603571, ,603571,BINAC MOTORS LIMITED,Automobile and Tyre
"4,863",PR0000653214, ,RA653214,BINOK AUTO COMPANY LIMITED,Automobile and Tyre
"4,864",PR0000609607, ,RA609607,BISHOP MOTORS NIGERIA LTD,Automobile and Tyre
"4,865",PR0000077574, ,RA077574,BISI LEKO MOTORS NIGERIA LTD,Automobile and Tyre
"4,866",PR0000658675, ,RA658675,BISIRAG MOTORS LIMITED,Automobile and Tyre
"4,867",PR0000013413, ,RA013413,BITSIDE AUTOMOBILE ENGR. CRASHES NIG. LTD,Automobile and Tyre
"4,868",PR0000061052, ,1808523,BLESSED AUTO GARAGE SERVICES LIMITED,Automobile and Tyre
"4,869",PR0000635612, ,RA635612,BLESSED GOD'S TIME MOTORS LIMITED,Automobile and Tyre
"4,870",PR0000657544, ,RA657544,BLUE OCEAN AUTOMOBILES LIMITED,Automobile and Tyre
"4,871",PR0000023241, ,RA023241,BOBAJO MOTORS NIGERIA LIMITED,Automobile and Tyre
"4,872",PR0000602689, ,602689,BOBBY AUTO SALES NIGERIA LIMITED,Automobile and Tyre
"4,873",PR0000602050, ,602050,BOBTI AUTO INVESTMENTS LIMITED,Automobile and Tyre
"4,874",PR0000659416, ,RA659416,BOCE AUTO SALES & SERVICES LIMITED,Automobile and Tyre
"4,875",PR0000018976, ,RA018976,BOLA MOTORS LIMITED,Automobile and Tyre
"4,876",PR0000012955, ,RA012955,BOLORI BROTHERS MOTORS LIMITED,Automobile and Tyre
"4,877",PR0000639515, ,RA639515,BOLUWATIFE MOTORS NIGERIA LIMITED,Automobile and Tyre
"4,878",PR0000051157, ,RA051157,BORDILAK MOTORS (NIG) LTD,Automobile and Tyre
"4,879",PR0000508694, ,508694,BOSCO AUTO SUPPLY COMPANY LIMITED,Automobile and Tyre
"4,880",PR0000004623, ,RA004623,BOSO MOTORS [MIDWEST] NIG LTD,Automobile and Tyre
"4,881",PR0000017244, ,RA017244,BOYE MOTORS NIG. LTD,Automobile and Tyre
"4,882",PR0001324601, ,1324601,BRAIN BOX MARKETING SERVICES LIMITED,Automobile and Tyre
"4,883",PR0000054846, ,905561,BRAYKIN CONSULTING LTD,Automobile and Tyre
"4,884",PR0000650669, ,RA650669,BRINKLE MOTORS LIMITED,Automobile and Tyre
"4,885",PR0000643908, ,RA643908,BRISTOL AUTOMOTIVE COMPANY LTD,Automobile and Tyre
"4,886",PRTEMP003951, ,2008721,BROAD SPEED AUTO MOBILE SERVICES,Automobile and Tyre
"4,887",PRTEMP003873, ,2004705,BROAD SPELL AUTOMOBILE SERVICES,Automobile and Tyre
"4,888",PR0000017912, ,RA017912,BRONIK MOTORS LIMITED,Automobile and Tyre
"4,889",PR0000644536, ,RA644536,BUCHI AUTO TRUST NIGERIA LIMITED,Automobile and Tyre
"4,890",PR0002010927, ,2003771,BUCO AUTO NIGERIA VENTURES,Automobile and Tyre
"4,891",PR0002003876, ,54421,BUHARI AUTO MECHANIC WORKS,Automobile and Tyre
"4,892",PR0000502567, ,RA502567,BUNCHES (THE) MOTORS LIMITED,Automobile and Tyre
"4,893",PR0000042805, ,1140152,BUSCAR VEHICLES LMITED,Automobile and Tyre
"4,894",PR0001097143, ,1097143,BYGRIMI GLOBAL MOTORS LIMITED,Automobile and Tyre
"4,895",PR0002223331, ,2223331,C O B AUTOSERVE DIAGNOSTICS,Automobile and Tyre
"4,896",PR0000617471, ,617471,C. DOSKY AUTO SUPPLY LIMITED,Automobile and Tyre
"4,897",PR0000644022, ,RA644022,C. H. OGBUS AUTOMOBILE INTERNATIONAL LIMITED,Automobile and Tyre
"4,898",PR0000626059, ,RA626059,C. I AUTOMECH SERVICES COMPANY LIMITED,Automobile and Tyre
"4,899",PR0000064735, ,RA064735,C. MUXCO MOTORS (NIG) LTD,Automobile and Tyre
"4,900",PR0002008081, ,617094,C. Y. OVERSEAS AUTO INTERNATIONAL AGENCY,Automobile and Tyre
"4,901",PR0000504393, ,RA504393,C.J. ASSOCIATED AUTOS LIMITED,Automobile and Tyre
"4,902",PR0000612227, ,612227,C.OGO KINGS AUTO RESOURCES LIMITED,Automobile and Tyre
"4,903",PR0000909275, ,909275,CADON AUTOS LIMITED,Automobile and Tyre
"4,904",PR0000623270, ,RA623270,CALIPHATE MOTORS NIGERIA LIMITED,Automobile and Tyre
"4,905",PR0000643888, ,RA643888,CALVARY MOTORS LIMITED,Automobile and Tyre
"4,906",PR0000485219, ,RA485219,CAPITAL CITY AUTO MOBILE LIMITED,Automobile and Tyre
"4,907",PR0000605603, ,605603,CAR-GO MOTORCYCLES NIGERIA LIMITED,Automobile and Tyre
"4,908",PR0001363730, ,1363730,CARBON RETAIL LIMITED,Automobile and Tyre
"4,909",PR0002008437, ,8437,CARDI BUSINESS CONCEPTS,Automobile and Tyre
"4,910",PR0002007513, ,7513,CARING HEARTS CONCEPTS,Automobile and Tyre
"4,911",PR0000229295, ,229295,CAVEM INVESTMENT LIMITED,Automobile and Tyre
"4,912",PR0000604963, ,RA604963,CENT EGBO MOTORS NIG. LTD,Automobile and Tyre
"4,913",PR0000015194, ,RA015194,CENTRAL MOTOR INTERNATIONAL LIMITED,Automobile and Tyre
"4,914",PR0001217013, ,1217013,CENTURY AUTO-ASSEMBLY NIGERIA LIMITED,Automobile and Tyre
"4,915",PR0000646425, ,RA646425,CENTURY MEGA AUTO WHEELS LTD,Automobile and Tyre
"4,916",PR0000000322, ,910337,CHACOM MOTORS LIMITED,Automobile and Tyre
"4,917",PR0000000028, ,1047821,CHALLENGERS AUTOMOBILES (NIGERIA) LIMITED,Automobile and Tyre
"4,918",PR0000013830, ,RA013830,CHANCHANGI MOTORS NIG LTD,Automobile and Tyre
"4,919",PR0000657640, ,RA657640,CHANGES AUTO SALES LIMITED,Automobile and Tyre
"4,920",PR0000066988, ,1689389,CHARIOT AUTO SALES & SERVICES LTD,Automobile and Tyre
"4,921",PR0000015531, ,RA015531,CHARITY MOTORS LIMITED,Automobile and Tyre
"4,922",PR0000351077, ,351077,CHARLES EBITE & SONS MOTORS LTD,Automobile and Tyre
"4,923",PR0000088715, ,RA088715,CHARNARD AUTOMOBILE ENGINEERING CO LTD,Automobile and Tyre
"4,924",PR0000601605, ,RA601605,CHEROKEE AUTOMOBILE NIGERIA LIMITED,Automobile and Tyre
"4,925",PR0000631503, ,RA631503,CHERY MOTORS NIGERIA LIMITED,Automobile and Tyre
"4,926",PR0000759140, ,759140,CHIBOY MOTORS NIGERIA LIMITED,Automobile and Tyre
"4,927",PR0000617868, ,RA617868,CHIC-CHIC MOTORCYCLES NIGERIA LIMITED,Automobile and Tyre
"4,928",PR0000648842, ,RA648842,CHICHUMS AUTOMOBILES LIMITED,Automobile and Tyre
"4,929",PR0002003281, ,632740,CHIDAK AUTO NIGERIA ENTERPRISES,Automobile and Tyre
"4,930",PR0000409675, ,409675,CHIDAN INTERNATIONAL AND RESOURCES LIMITED,Automobile and Tyre
"4,931",PR0000609523, ,609523,CHIDEX MEGA AUTOS NIG. LIMITED,Automobile and Tyre
"4,932",PR0000634887, ,RA634887,CHIDON AUTO BIZ LIMITED,Automobile and Tyre
"4,933",PR0000509385, ,509385,CHIEF PAULO AND SONS MOTORS NIGERIA LIMITED,Automobile and Tyre
"4,934",PR0000066154, ,RA066154,CHIEME AUTOOBILE INDUSTRIES NIGERIA LIMITED,Automobile and Tyre
"4,935",PR0000016337, ,RA016337,CHIEME MOTORS NIGERIA LIMITED,Automobile and Tyre
"4,936",PR0000067949, ,RA067949,CHIEMEZIE MOTORS NIG LTD,Automobile and Tyre
"4,937",PR0000645738, ,RA645738,CHIJESS MOTORS LIMITED,Automobile and Tyre
"4,938",PR0000638740, ,RA638740,CHIMADU MOTORS LIMITED,Automobile and Tyre
"4,939",PR0000651536, ,RA651536,CHINERAPHOD AUTO LIMITED,Automobile and Tyre
"4,940",PR0000604093, ,RA604093,CHINICK AUTO INVESTMENT LIMITED,Automobile and Tyre
"4,941",PR0000640416, ,RA640416,CHINNA AUTOMOBILE MANUFACTURING CO W/A LTD,Automobile and Tyre
"4,942",PR0000007584, ,RA007584,CHINYERE AUTOMOBILE TRADING CO. NIGERIA LIMITED,Automobile and Tyre
"4,943",PR0000029531, ,1447479,CHIVIC AUTOMOBILE LIMITED,Automobile and Tyre
"4,944",PR0000507764, ,RA507764,CHONGQING KING CROWN MOTORCYCLE INDUSTRIES NIG LTD,Automobile and Tyre
"4,945",PR0000647568, ,RA647568,CHONIC MOTORS LIMITED,Automobile and Tyre
"4,946",PR0000072375, ,RA072375,CHRIS ANENE MOTORS LIMITED,Automobile and Tyre
"4,947",PR0000066487, ,RA066487,CHRISSO AUTO ANGENCY NIG LTD,Automobile and Tyre
"4,948",PR0000648173, ,RA648173,CHRISSTAR AUTOMOBILES MANUFACTURING NIGERIA LTD,Automobile and Tyre
"4,949",PR0000182199, ,RA182199,CHRISTOS SIR MOTORS WEST AFRICA LTD,Automobile and Tyre
"4,950",PR0000071210, ,RA071210,CHUDOY MOTORS COMPANY LIMITED,Automobile and Tyre
"4,951",PR0002004008, ,2007799,CHUKS AUTO MECHANIC & COMPANY,Automobile and Tyre
"4,952",PR0000654195, ,RA654195,CHUKS LINK AUTOMOBILE LIMITED,Automobile and Tyre
"4,953",PR0000614954, ,RA614954,CHUKSEL AUTOMOBILE LIMITED,Automobile and Tyre
"4,954",PR0000340905, ,340905,CHUMACO AUTO VENTURES NIGERIA LIMITED,Automobile and Tyre
"4,955",PR0000641484, ,RA641484,CHUMASON AUTO SUPPLIES NIG LTD,Automobile and Tyre
"4,956",PR0000605048, ,605048,CHUNEZ INTERNATIONAL AUTO LINK LIMITED,Automobile and Tyre
"4,957",PR0002000703, ,619334,CHYKE AUTOS,Automobile and Tyre
"4,958",PR0000953549, ,953549,CIRCULAR AUTOMOBILE COMPANY LIMITED,Automobile and Tyre
"4,959",PR0000611398, ,611398,CITY - WIDE AUTO LINKS NIGERIA LIMITED,Automobile and Tyre
"4,960",PR0000008972, ,RA008972,CITY GROUP MOTORS NIG. LTD,Automobile and Tyre
"4,961",PR0000849518, ,849518,CITY LINK AUTOMATION LIMITED,Automobile and Tyre
"4,962",PR0000004529, ,RA004529,CITY MOTOR NIG LTD,Automobile and Tyre
"4,963",PR0000394595, ,394595,CLASS MOTORS LIMITED,Automobile and Tyre
"4,964",PR0001216781, ,1216781,CLASSIC AUTO CARE LTD,Automobile and Tyre
"4,965",PR0002009194, ,2011105,CLEAN CRESCENT AUTOBODY WORKSHOP,Automobile and Tyre
"4,966",PR0002008911, ,640847,CLEMUCH AUTOMOBILE COMPANY,Automobile and Tyre
"4,967",PR0000506650, ,RA506650,CLETOL AUTO INVESTMENT NIGERIA LIMITED,Automobile and Tyre
"4,968",PR0002009182, ,2009182,CLICK MOBILE CONCEPTS COMMUNICATIONS CO,Automobile and Tyre
"4,969",PR0000610475, ,RA610475,CLIFF TONIA AUTOMOBILES LTD,Automobile and Tyre
"4,970",PR0000659196, ,RA659196,CLIMATE AUTOS LIMITED,Automobile and Tyre
"4,971",PR0001214487, ,1214487,CLUB 7 AUTO SERVICES LTD,Automobile and Tyre
"4,972",PR0000017889, ,RA017889,COAST MOTORS LIMITED,Automobile and Tyre
"4,973",PR0000508965, ,RA508965,COCSY AUTOMOBILE LIMITED,Automobile and Tyre
"4,974",PR0000608521, ,608521,COL AUTO LINKS LIMITED,Automobile and Tyre
"4,975",PR0000660295, ,RA660295,COLLINES AUTO BEZ NIG LTD,Automobile and Tyre
"4,976",PR0002008060, ,8060,COLLINS .O. CAR RENTALS,Automobile and Tyre
"4,977",PR0000937461, ,937461,COMMS & MOTORS INVESTMENTS LTD,Automobile and Tyre
"4,978",BR0002316012,PRTEMP005342,2316012,COMPUTERISED VEHICLE TESTING SERVICES,Automobile and Tyre
"4,979",PR0000035075, ,RA035075,CONCORD AUTOMOBILE COMPANY NIGERIA LIMITED,Automobile and Tyre
"4,980",PR0000011280, ,11280,CONFIDENCE AUTOMOBILE ENGINEERING,Automobile and Tyre
"4,981",PR0000621684, ,621684,CONTINENTAL AUTOMOBILE RENTALS (CAR) LIMITED,Automobile and Tyre
"4,982",PR0000509952, ,509952,CONTINENTAL CAR HIRE SERVICES LIMITED,Automobile and Tyre
"4,983",PR0000976850, ,976850,CONTINENTAL MOTORCARS LIMITED,Automobile and Tyre
"4,984",PR0000006078, ,RA006078,CONTINENTAL MOTORS ENGINEERING COMPANY LIMITED,Automobile and Tyre
"4,985",BR0000051900, ,2102244,COOL PLUS AIRCONDITIONING SERVICES,Automobile and Tyre
"4,986",PR0000398933, ,398933,COOMY AUTOMOBILES LIMITED,Automobile and Tyre
"4,987",PR0001471171, ,1471171,COPIOUS AUTOMOBILE SYSTEM LTD,Automobile and Tyre
"4,988",PR0000503061, ,RA503061,CORPORATE AUTOMATION SYSTEMS AND SERVICES LIMITED,Automobile and Tyre
"4,989",PR0000072726, ,RA072726,COSCHARIS AUTO INDUSTRIES LTD,Automobile and Tyre
"4,990",PR0000000328, ,1231725,COSCHARIS MOTORS ASSEMBLY LIMITED,Automobile and Tyre
"4,991",PR0000056536, ,RA056536,COSCHARIS MOTORS LTD,Automobile and Tyre
"4,992",BR0002298970,PRTEMP006564,2298970,CRESCENT IDEAL AUTO MULTI CONCEPT,Automobile and Tyre
"4,993",PR0000067565, ,RA067565,CROWN MOTORS NIG LTD,Automobile and Tyre
"4,994",PR0000013200, ,RA013200,CROYDON MOTORS CO. LTD,Automobile and Tyre
"4,995",PR0001455328, ,1455328,CRYSTAL SYNERGY CONSULTANCY LIMITED,Automobile and Tyre
"4,996",PR0000038754, ,RA038754,CUNTRY HOME MOTORS LTD,Automobile and Tyre
"4,997",PR0000654014, ,RA654014,CYRANO AUTO MERCHANDISE LIMITED,Automobile and Tyre
"4,998",PR0000647826, ,RA647826,D & T MOTORS LTD,Automobile and Tyre
"4,999",PR0000014817, ,RA014817,D. C. OPARA MOTOR CO. LTD,Automobile and Tyre
"5,000",PR0000044096, ,RA044096,DAASO MOTORS NIG. LTD,Automobile and Tyre
"5,001",PR0000173647, ,RA173647,DABO MOTORS LIMITED,Automobile and Tyre
"5,002",PR0000294685, ,RA294685,DABON AUTOMOBILE SERVICES NIGERIA LIMITED,Automobile and Tyre
"5,003",PR0000483131, ,483131,DAEWOO AUTOLAND NIGERIA LIMITED,Automobile and Tyre
"5,004",PR0000607688, ,RA607688,DAG MOTORCYCLE INDUSTRIES NIGERIA LIMITED,Automobile and Tyre
"5,005",PR0000627590, ,627590,DALKAB AUTO AND INVESTMENT LIMITED,Automobile and Tyre
"5,006",PR0001334293, ,1334293,DALORI AUTOMOBILE NIG LTD,Automobile and Tyre
"5,007",PR0001173856, ,1173856,DAMAGA MOTORS VENTURES LIMITED,Automobile and Tyre
"5,008",PR0000620697, ,620697,DAMI AUTOS NIGERIA LIMITED,Automobile and Tyre
"5,009",PR0002006828, ,4133,DAMOL AUTOMOBILE COMPANY,Automobile and Tyre
"5,010",PR0000621256, ,RA621256,DAN AUTO NIG LTD,Automobile and Tyre
"5,011",PR0000621449, ,RA621449,DAN AUTOS LIMITED,Automobile and Tyre
"5,012",PR0000506405, ,506405,DAN-C AUTO COMPANY LIMITED,Automobile and Tyre
"5,013",PR0000294984, ,RA294984,DANA MOTORS LTD,Automobile and Tyre
"5,014",PR0000033359, ,474731,DANALI MOTORS NIGERIA LIMITED,Automobile and Tyre
"5,015",PR0000384634, ,384634,DANBIRNI MOTORS NIGERIA LIMITED,Automobile and Tyre
"5,016",PRTEMP002221, ,2002396,DANELAND AUTOMOBILE COMPANY,Automobile and Tyre
"5,017",PR0000045597, ,1465167,DANGOTE PEUGEOT AUTOMOBILES NIGERIA LIMITED,Automobile and Tyre
"5,018",PR0000022894, ,RA022894,DANTATA MOTORS LTD,Automobile and Tyre
"5,019",PR0000021492, ,RA021492,DARAKS MOTORS & ENGR. LTD,Automobile and Tyre
"5,020",PR0000606318, ,RA606318,DAVIC AUTO SALES & SERVICES LTD,Automobile and Tyre
"5,021",PR0000316039, ,PRTEMP003386,DAZZ MOTORS LTD,Automobile and Tyre
"5,022",PR0000628428, ,RA628428,DE BLESSED GOZABLE MOTORS NIGERIA LIMITED,Automobile and Tyre
"5,023",PR0000502358, ,RA502358,DE GOODNEWS MOTORS LIMITED,Automobile and Tyre
"5,024",PR0000205667, ,RA205667,DE MAN JOE MOTORS NIG LTD,Automobile and Tyre
"5,025",PR0000613276, ,RA613276,DE MEX AUTOWORKS LIMITED,Automobile and Tyre
"5,026",PR0000619434, ,RA619434,DE STEPPING STONE AUTOMOTIVE LTD,Automobile and Tyre
"5,027",PR0001233055, ,1233055,DE WEALTH AUTO-TECH LTD,Automobile and Tyre
"5,028",PR0000040547, ,1596707,DE-VALUABLES AND AUTOMOBILE LTD,Automobile and Tyre
"5,029",PR0000642142, ,RA642142,DEANKENNY MOTORS LIMITED,Automobile and Tyre
"5,030",PR0000221612, ,RA221612,DEBOL AUTO WORKS LTD,Automobile and Tyre
"5,031",PR0000053611, ,1443107,DECRAFT AUTOS LIMITED,Automobile and Tyre
"5,032",PR0000820828, ,820828,DEFEM AUTO CARE LIMITED,Automobile and Tyre
"5,033",PR0000810382, ,810382,DEGREATGOD AUTO CO LTD,Automobile and Tyre
"5,034",PR0000234402, ,RA234402,DEHAZ MOTORS NIG. LTD,Automobile and Tyre
"5,035",PR0002000795, ,633856,DEKINGS AUTO STORES VENTURES,Automobile and Tyre
"5,036",PR0000622692, ,RA622692,DEKINGS MOTORS LIMITED,Automobile and Tyre
"5,037",PR0000634440, ,RA634440,DELUDO MOTORS LIMITED,Automobile and Tyre
"5,038",PR0000605739, ,605739,DEMALOC AUTOMECH &INVESTMENT LIMITED,Automobile and Tyre
"5,039",PR0000627377, ,RA627377,DENNIS AUTO SUPPLY COMPANY LIMITED,Automobile and Tyre
"5,040",PR0001432259, ,1432259,DENSTAR MOTORS LIMITED,Automobile and Tyre
"5,041",PR0000504245, ,504245,DEPO AUTO LIMITED,Automobile and Tyre
"5,042",PR0000927015, ,927015,DESERT AUTO PROMOTION NIG LIMITED,Automobile and Tyre
"5,043",PR0000618536, ,RA618536,DEYEMO MOTORS & COMPANY LIMITED,Automobile and Tyre
"5,044",PR0000635163, ,RA635163,DIAMOND SHIPPING AND AUTO SALES LTD,Automobile and Tyre
"5,045",PR0000651169, ,651169,DIAMOND TYRES AND TUBES NIGERIA LIMITED,Automobile and Tyre
"5,046",PR0000607656, ,607656,DICON MOTORS NIGERIA LIMITED,Automobile and Tyre
"5,047",PR0000658114, ,RA658114,DIGITAL AUTO CENTRE LIMITED,Automobile and Tyre
"5,048",PR0000064607, ,RA064607,DIKE MOTORS LTD,Automobile and Tyre
"5,049",PR0000632911, ,632911,DILLY JAY AUTO NIGERIA LIMITED,Automobile and Tyre
"5,050",PR0000630809, ,RA630809,DIMCHRIS AUTOLINKS LIMITED,Automobile and Tyre
"5,051",PR0000017789, ,RA017789,DINIM MOTORS LTD,Automobile and Tyre
"5,052",PR0000007895, ,RA007895,DIPLOMA MOTORING SERVICES NIGERIA LIMITED,Automobile and Tyre
"5,053",PR0000635805, ,RA635805,DISTINQUISHED AUTOS LIMITED,Automobile and Tyre
"5,054",PR0000056008, ,1768497,DIVERSE AUTOCARE CENTRE LTD,Automobile and Tyre
"5,055",PR0000607437, ,RA607437,DIVINE MERCY AUTOMOBILE LIMITED,Automobile and Tyre
"5,056",PR0000675267, ,675267,DM AUTO COMPANY NIGERIA LIMITED,Automobile and Tyre
"5,057",PR0000002736, ,2736,DN TYRE AND RUBBER PLC,Automobile and Tyre
"5,058",PR0000508930, ,RA508930,DNL MOTORS LIMITED,Automobile and Tyre
"5,059",PR0000657351, ,RA657351,DNO DOMEC AUTO SALES LIMITED,Automobile and Tyre
"5,060",PR0000618058, ,RA618058,DON COLLINS MOTORS INT`L LTD,Automobile and Tyre
"5,061",PR0000660734, ,660734,DONJUDE POWER EQUIPMENT NIGERIA LIMITED,Automobile and Tyre
"5,062",PR0000508350, ,508350,DONNA AUTOS INVESTMENT LIMITED,Automobile and Tyre
"5,063",PR0000636696, ,RA636696,DOOSHIMA MOTORS LIMITED,Automobile and Tyre
"5,064",PR0000022588, ,RA022588,DOTAG MOTORS & SPARE PARTS SALES LTD,Automobile and Tyre
"5,065",PR0002010160, ,2010160,DOTIMI MOBILES POTS,Automobile and Tyre
"5,066",PRTEMP005552, ,IBZ014098,DOUBLE CROWN AUTOMOBILE COMPANY,Automobile and Tyre
"5,067",PR0000018534, ,RA018534,DOYIN MOTORS LTD,Automobile and Tyre
"5,068",PR0000608029, ,608029,DOZZY PAT AUTO LINK LTD,Automobile and Tyre
"5,069",PR0000013641, ,RA013641,DRESSLER MOTORS NIGERIA LIMITED,Automobile and Tyre
"5,070",PR0000314702, ,RA314702,DUBI-AUTOMATION USA NIG. LTD,Automobile and Tyre
"5,071",PR0000657998, ,RA657998,DUCAS AUTO & ASSOCIATE LIMITED,Automobile and Tyre
"5,072",PR0002002666, ,602142,DURABLE MOTOR GLASS,Automobile and Tyre
"5,073",PR0000647840, ,RA647840,DURU MARKSON MOTORS (NIG) LTD,Automobile and Tyre
"5,074",PR0000654687, ,RA654687,DUTCH AUTO SALES INTERNATIONAL LTD,Automobile and Tyre
"5,075",PR0000600342, ,600342,DYNAMOS GOLDEN AUTO LIMITED,Automobile and Tyre
"5,076",PR0000244798, ,RA244798,E. I. EZENWUBA MOTORS NIG LTD,Automobile and Tyre
"5,077",PR0002005265, ,2003955,E. N. ANOSIKE AND SONS MOTORS,Automobile and Tyre
"5,078",PR0000510945, ,510945,EAGLEPLUS LTD,Automobile and Tyre
"5,079",PR0000023617, ,RA023617,EASTERN AUTOMOBILE ENGINEERING CO. [NIG.] LTD,Automobile and Tyre
"5,080",PR0000001461, ,RA001461,EASTERN NIGERIA MOTOR BOAT CO. LTD,Automobile and Tyre
"5,081",PR0000610347, ,610347,EASY - BENZ NIPPON NIGERIA LIMITED,Automobile and Tyre
"5,082",PR0000511441, ,RA511441,EBENEZERY AUTOMOBILE MECHANICAL CO. LTD,Automobile and Tyre
"5,083",PR0000636415, ,RA636415,EBITARE MOTORS NIGERIA LIMITED,Automobile and Tyre
"5,084",PR0000793905, ,793905,ECB CUSTOM CARS LIMITED,Automobile and Tyre
"5,085",PR0000013617, ,RA013617,ECOCIN MOTORS (NIG.) LTD,Automobile and Tyre
"5,086",PR0000158032, ,RA158032,EDACHE MOTORS NIG LIMITED,Automobile and Tyre
"5,087",PR0000643798, ,RA643798,EDDY IZE AUTO LIMITED,Automobile and Tyre
"5,088",PR0000604260, ,604260,EDDY MACY AUTOS LIMITED,Automobile and Tyre
"5,089",PR0000034211, ,RA034211,EDDY MOTORS NIG. LTD,Automobile and Tyre
"5,090",PR0000612248, ,RA612248,EDDY SEEL AUTOMOBILES LIMITED,Automobile and Tyre
"5,091",PR0000646014, ,RA646014,EDDYFAB AUTOCO NIGERIA LIMITED,Automobile and Tyre
"5,092",PR0000073420, ,RA073420,EDIG MOTORS LTD,Automobile and Tyre
"5,093",PR0000653143, ,RA653143,EDJONS AUTO LINKS LIMITED,Automobile and Tyre
"5,094",PR0000631012, ,RA631012,EDMA MOTORS LIMITED,Automobile and Tyre
"5,095",PR0000007509, ,RA007509,EDONCO AUTOMOBILE (SPARE PARTS) COMPANY LTD,Automobile and Tyre
"5,096",PR0000616739, ,RA616739,EDU EZEOKA MOTORS NIGERIA LIMITED,Automobile and Tyre
"5,097",PR0000501743, ,501743,EDWIN AUTOS LIMITED,Automobile and Tyre
"5,098",PR0000618579, ,RA618579,EHIGIE MULTINATIONAL MOTORS NIG. LIMITED,Automobile and Tyre
"5,099",PR0000655981, ,RA655981,EJEH AUTOPARTS LIMITED,Automobile and Tyre
"5,100",PR0000622322, ,622322,EKAJIS AUTO LINK LIMITED,Automobile and Tyre
"5,101",PR0000617224, ,RA617224,EKENDOK AUTO NIGERIA LTD,Automobile and Tyre
"5,102",PR0000021867, ,RA021867,EKENE DILI CHUKWU MOTORS LTD,Automobile and Tyre
"5,103",PR0000015838, ,RA015838,EKITI AUTOMOBILE SERVICES CO. LTD,Automobile and Tyre
